"id","area","reference_requirement","status","current_evidence","code_pointer","acceptance_proof"
"SH-01","共享","实际绑定KB的运行携网站/kb/prompt-set锚点；T2可独立","部分","有内部snapshot/revision/hash，无一致的跨工具上下文头","brief-contract.ts:103; visibility-contract.ts:175","对实际绑定KB的运行，冻结身份在入口及导出一致；匿名URL-only T2不要求账户/KB，未绑定时不展示虚构版本"
"KB-01","知识库","设置→网站→GEO扩展，不另立资产编辑器","冲突待确认","独立/tools/geo-knowledge-base + 自有KB；8/29设计记录四入口","geo-knowledge-base.tsx:581; design.md:9-16","确认canonical入口；保留兼容入口不得造成两份不同事实"
"KB-02","知识库","继承domain/productName/positioning/features","部分","一次复制name/category/market/role/competitors；无positioning/features字段","kb-contract.ts:63; kb-import.ts:98","显示继承来源与版本，不重复录入；核心功能只成待核事实候选"
"KB-03","知识库","aliases候选生成、确认及category terms","部分","import中proposeGeoAliasCandidates；可编辑alias/category，但脱离Profile后独立","kb-import.ts:100; kb-contract.ts:138","显示自动候选/人工确认及语言，冻结保留确定版本"
"KB-04","知识库","明确market/language输入并贯穿问题与provider","不一致","UI US/GB且写死en，import可带非en；生成模板仍英文","kb-import.ts:120; geo-knowledge-base.tsx:697; kb-questions.ts:202","所见语言=冻结语言=问题语言=provider locale；不支持则在付费前明确拒绝"
"KB-05","知识库","1–5竞品域名→抓首页解析brandName/aliases→确认","部分","最多5；brandName/domain/confirmed手填，无首页抓取、竞品aliases","kb-contract.ts:34; kb-import.ts:43","成功解析保留来源，失败不伪确认，不计未确认品牌进SOV"
"KB-06","知识库","GSC90天聚类ICP，source/queryCount及角色字段","缺失","单ICP预填/手写roles；无GSC/window/cluster/source/queryCount","kb-contract.ts:24; kb-import.ts:57","同身份GSC读取+来源标签，公开HTML推断与真实query来源分开"
"KB-07","知识库","未连接GSC时明确角色/问题层缺失策略","不一致","无GSC仍按手填role生成；freeze要求至少1role","kb-contract.ts:405; kb-questions.ts:211","冻结显示每层生成/跳过原因，先澄清原型HTML推断fallback"
"KB-08","知识库","已核事实key/value/source/time/status","部分","人工key/value/reason/sourceUrl/observedAt；空值reason已有，无crawl receipt/status","kb-contract.ts:54; geo-knowledge-base.tsx:967","用户提供sourceUrl只能标KB；抓取事实需真实read receipt"
"KB-09","知识库","kb+prompt-set不可变锚点和可重读题表","部分","snapshot/hash核心已有；预览不传roleId/requiredEntities，reload后无preview","kb-store.ts:86; kb-handler.ts:267; geo-knowledge-base.tsx:404","版本/role/requiredEntities表可在冻结后重载，消费者读同一版本"
